Location,City,Bedrooms,Bathrooms,Parking,Price
,,1,1,,KSh 85 000
Westlands, Nairobi,1,1,,KSh 110 000
Lavington, Nairobi,5,5,1,KSh 350 000
,,4,4,2,KSh 490 000
,,4,4,2,KSh 490 000
 Westlands, Nairobi,,,,KSh 35 000
Runda, Nairobi,4,5,3,KSh 300 000
Westlands, Nairobi,4,5,3,KSh 180 000
Westlands, Nairobi,4,5,3,KSh 180 000
Kileleshwa, Nairobi,1,2,,KSh 65 000
Karen, Nairobi,5,5,1,KSh 300 000
Parklands, Nairobi,3,3,2,KSh 100 000
Peponi, Nairobi,4,3,,KSh 220 000
 Runda, Nairobi,5,5,5,KSh 330 000
Kilimani, Nairobi,2,2,,KSh 65 000
Westlands, Nairobi,2,2,,KSh 65 000
Kileleshwa, Nairobi,3,3,2,KSh 65 000
Runda, Nairobi,4,3,,KSh 300 000
Spring Valley, Nairobi,4,4,2,KSh 3 000
 Kilimani, Nairobi,3,2,2,KSh 70 000
 Lavington, Nairobi,5,4,2,POA
,,,,,KSh 200 000
,,2,2,,KSh 230 000
,,4,4,,KSh 95 000
Kiambu Road, Nairobi,2,3,2,KSh 50 000
,,4,4,,KSh 95 000
Lavington, Nairobi,4,4,,KSh 220 000
 Kilimani, Nairobi,1,1,1,KSh 40 000
,,1,1,1,KSh 50 000
Kilimani, Nairobi,3,3,,KSh 160 000
 Karen, Nairobi,5,5,5,KSh 450 000
 Kileleshwa, Nairobi,3,3,,KSh 85 000
Westlands, Nairobi,2,2,2,KSh 220 000
Spring Valley, Nairobi,2,2,2,KSh 270 000
 Westlands, Nairobi,4,2,2,KSh 160 000
 Lavington, Nairobi,3,2,,KSh 125 000
 Lavington, Nairobi,5,6,2,KSh 180 000
 Lavington, Nairobi,4,5,2,KSh 170 000
,,4,,,KSh 165 000
Lavington, Nairobi,1,1,,KSh 60 000
Westlands, Nairobi,3,3,,KSh 230 000
 Kileleshwa, Nairobi,4,4,,KSh 160 000
 Kileleshwa, Nairobi,3,3,2,KSh 120 000
Westlands, Nairobi,4,4,,KSh 190 000
Westlands, Nairobi,3,3,,KSh 170 000
Westlands, Nairobi,2,2,,KSh 130 000
