Price,Bedrooms,Bathrooms,City,Location
75000,3,2,Nairobi,Lavington
75000,3,3,Nairobi,Lavington
75000,3,3,Nairobi,Lavington
75000,2,2,Nairobi,Kilimani
75000,2,2,Nairobi,Westlands Area
75000,3,3,Nairobi, Waiyaki Way
75000,3,2,Nairobi, Kileleshwa
75000,3,2,Nairobi, Riverside
75000,3,2,Nairobi, Lavington
75000,2,2,Nairobi, Kilimani
75000,3,2,Nairobi, Riverside
75000,3,3,Nairobi, Lavington
75000,2,2,Nairobi, Kilimani
75000,3,2,Nairobi, Kilimani
75000,3,,Nairobi, Kilimani
75000,2,1,Nairobi, Parklands
75000,2,3,Nairobi, Riverside
75000,4,3,Nairobi, Riara Road
75000,3,,Nairobi, Kilimani
75000,3,,Nairobi, Kilimani
75000,3,2,Nairobi, Lavington
75000,3,,Nairobi,Kilimani
75000,2,2,Nairobi,Kitengela
75000,2,2,Nairobi, Kilimani
75000,2,3,Nairobi, Lavington
75000,2,,Nairobi, Westlands Area
75000,2,2,Nairobi, Kileleshwa
75000,2,2,Nairobi,Lavington
75000,2,2,Nairobi, Westlands Area
75000,2,2,Nairobi,Kilimani
75000,2,2,Nairobi,Kilimani
75000,3,3,Nairobi, Lavington
75000,3,2,Nairobi, Kilimani
75000,3,3,Nairobi, Lavington
75000,4,4,Nairobi, Kilimani
75000,2,,Nairobi,Riverside
75000,3,3,Nairobi,Kileleshwa
75000,2,2,Nairobi, Kilimani
75000,2,1,Nairobi,Kilimani
75000,3,3,Nairobi,Kilimani
75000,2,,Nairobi,Kilimani
75000,3,5,Nairobi, Lavington
75000,2,3,Nairobi,Kileleshwa
75000,3,2,Nairobi,Riara Road
75000,3,2,Nairobi, Lavington
75000,3,,Nairobi, Kilimani
75000,2,3,Nairobi,Kilimani
75000,4,3,Nairobi, Kiambu Road
75000,3,3,Nairobi, Lavington
75000,2,2,Nairobi, Kilimani
75000,3,2,Nairobi, Valley Arcade
75000,3,2,Nairobi, Naivasha Road
75000,2,,Nairobi,Lavington
75000,3,,Nairobi,Kilimani
75000,3,4,Nairobi,Westlands Area
75000,3,,Nairobi,Kileleshwa
75000,1,,Nairobi,Riverside
75000,2,2,Nairobi,Lavington
75000,4,,Nairobi,Rhapta Road
75000,3,3,Nairobi, Lavington
75000,3,2,Nairobi, Lavington
75000,3,,Nairobi,Lavington
75000,2,2,Nairobi,Parklands
75000,2,2,Nairobi, Kilimani
75000,3,2,Nairobi, Rhapta Road
75000,2,2,Nairobi,Lavington
76000,3,4,Nairobi,Lavington
77000,3,3,Nairobi, Westlands Area
77000,3,3,Nairobi, Kilimani
78000,2,2,Nairobi, Kilimani
78000,2,,Nairobi,Kilimani
78000,3,2,Nairobi,Kilimani
79000,3,2,Nairobi,Kileleshwa
80000,3,3,Nairobi,Riara Road
80000,2,2,Nairobi, Lavington
80000,2,3,Nairobi, Kilimani
80000,3,,Nairobi,Rhapta Road
80000,3,3,Nairobi,Rhapta Road
80000,3,4,Nairobi, Lavington
80000,4,3,Nairobi, Kileleshwa
80000,3,2,Nairobi,Kilimani
80000,3,2,Nairobi, Lavington
80000,3,3,Nairobi, Kilimani
80000,4,4,Nairobi, Kilimani
80000,2,2,Nairobi, Kilimani
80000,3,2,Nairobi, Lavington
80000,3,3,Nairobi,Rhapta Road
80000,3,3,Nairobi, Rhapta Road
80000,1,1,Nairobi, Kilimani
80000,1,,Nairobi, Kileleshwa
80000,3,2,Nairobi, Lavington
80000,3,3,Nairobi, Rhapta Road
80000,1,1,Nairobi, Kilimani
